"","x"
"brasil",419
"bolsonaro",73
"lula",75
"vai",52
"sobre",50
"cada",43
"pra",39
"anitta",30
"debate",30
"vão",29
"leandroruschel",25
"mulheres",25
"feminicídio",23
"ninguém",23
"lulaoficial",22
"presidente",22
"maior",21
"mundo",21
"fake",20
"minutos",20
"dia",19
"mil",19
"news",19
"bolha",18
"corrigir",18
"jairbolsonaro",18
"militância",18
"redação",18
"agora",17
"aqui",17
"tebet",17
"lembrar",16
"ciro",15
"representa",15
"todos",15
"vamos",15
"bom",14
"candidato",14
"corrupto",14
"história",14
"hoje",14
"promessa",14
"realidade",14
"ser",14
"algo",13
"assumir",13
"estudante",13
"gente",13
"gusgonccalves",13
"bolsonaristas",12
"copa",12
"melhor",12
"aconteceu",11
"família",11
"jornalista",11
"nesse",11
"país",11
"ter",11
"tudo",11
"viu",11
"deus",10
"falar",10
"flferronato",10
"grande",10
"misógino",10
"onde",10
"próprio",10
"questão",10
"sempre",10
"todo",10
"três",10
"verdade",10
"vmas",10
"acidente",9
"aspecto",9
"bolsonarista",9
"brasileiros",9
"climática",9
"conhece",9
"curioso",9
"disse",9
"elitista",9
"expresidiário",9
"fundamental",9
"governo",9
"jogar",9
"moraes",9
"mostrar",9
"nunca",9
"oposto",9
"pensam",9
"pessoas",9
"planeta",9
"política",9
"preconceituoso",9
"radical",9
"repetirá",9
"sobrevivência",9
"twitter",9
"vou",9
"alexandre",8
"ano",8
"anos",8
"assim",8
"cirogomes",8
"cironogueira",8
"contra",8
"diferente",8
"eleito",8
"fome",8
"frente",8
"gigante",8
"parabéns",8
"penal",8
"rio",8
"show",8
"vera",8
"agência",7
"ainda",7
"audiência",7
"corrupção",7
"democracia",7
"desemprego",7
"desse",7
"ensinar",7
"fez",7
"futuro",7
"implorar",7
"inflação",7
"josuepatriota",7
"lição",7
"milhões",7
"min",7
"momento",7
"nenhuma",7
"nessa",7
"pode",7
"podemos",7
"porque",7
"quase",7
"recorde",7
"sabem",7
"tá",7
"ver",7
"vitória",7
"votando",7
"amam",6
"bem",6
"bernardokuster",6
"blá",6
"cara",6
"casa",6
"certeza",6
"coisa",6
"conversando",6
"dinheiro",6
"diz",6
"emmanuelluiz",6
"entendeu",6
"existem",6
"gatinhas",6
"gayergus",6
"harry",6
"imprensa",6
"instâncias",6
"lembra",6
"machista",6
"mentira",6
"mst",6
"muitas",6
"nacional",6
"norte",6
"novo",6
"opinião",6
"perigo",6
"precisa",6
"pro",6
"pátria",6
"resposta",6
"simone",6
"the",6
"time",6
"vma",6
"votos",6
"whatsapp",6
"zambelli",6
"acho",5
"acorda",5
"auxílio",5
"aí",5
"banco",5
"band",5
"bandeira",5
"bras",5
"brazilfight",5
"brunozor",5
"cedo",5
"confortam",5
"desfez",5
"detalhe",5
"dias",5
"dita",5
"edifica",5
"empregos",5
"enxergar",5
"esperança",5
"esquema",5
"existe",5
"explico",5
"fala",5
"falsas",5
"fascismo",5
"fato",5
"flamengo",5
"ganhamos",5
"hexa",5
"honório",5
"iludem",5
"inteiro",5
"internacional",5
"lema",5
"maioria",5
"menos",5
"mim",5
"mostram",5
"nao",5
"nenhum",5
"obrigado",5
"palavras",5
"palmeiras",5
"pedroronchi",5
"polidas",5
"porra",5
"possível",5
"povo",5
"precisamos",5
"promessas",5
"realmente",5
"reclamar",5
"reduzir",5
"sabe",5
"sai",5
"senador",5
"soraya",5
"styles",5
"taisdeverdade",5
"tribunal",5
"vcs",5
"verdadeira",5
"vergonha",5
"vez",5
"xerecagem",5
"zona",5
"único",5
"abre",4
"achei",4
"acontecer",4
"anulada",4
"apenas",4
"argumento",4
"assistindo",4
"atacava",4
"base",4
"caiocezarfp",4
"candidata",4
"certa",4
"chicopinheiro",4
"condenação",4
"conta",4
"continuar",4
"convocou",4
"criado",4
"crime",4
"defender",4
"defesa",4
"demais",4
"denunciado",4
"documentário",4
"dois",4
"dorme",4
"eleitoral",4
"empresa",4
"escroto",4
"especial",4
"face",4
"falou",4
"falta",4
"fazer",4
"final",4
"futebol",4
"gestã",4
"gomes",4
"indígena",4
"integralism",4
"joaquimmonstrao",4
"jornal",4
"jpdoficial",4
"julho",4
"kkkk",4
"lembram",4
"luta",4
"magalhães",4
"mal",4
"mandando",4
"muita",4
"mulher",4
"nada",4
"neste",4
"né",4
"números",4
"odeia",4
"outros",4
"para",4
"perdeu",4
"pergunta",4
"permanecer",4
"polícia",4
"poucos",4
"primeira",4
"processo",4
"professor",4
"rconstantino",4
"realizações",4
"rua",4
"réu",4
"safatleoficial",4
"saltitante",4
"sendo",4
"senhor",4
"suécia",4
"tanto",4
"termina",4
"todas",4
"torna",4
"tratava",4
"tão",4
"usado",4
"veio",4
"vem",4
"venha",4
"volta",4
"voto",4
"vídeo",4
"absolvido",3
"acima",3
"acreditam",3
"afirmou",3
"agradece",3
"alertatotal",3
"alguns",3
"amanhã",3
"andreiasadi",3
"andreporci",3
"antes",3
"apaixonou",3
"apareceu",3
"apoia",3
"apoiar",3
"apresentar",3
"após",3
"artista",3
"ate",3
"autorizado",3
"bbc",3
"bbcbrasil",3
"blink",3
"bolsa",3
"bolsonro",3
"brenolaerte",3
"briga",3
"bromelisa",3
"bts",3
"camisa",3
"canadense",3
"carai",3
"causa",3
"cavalcantilobo",3
"certo",3
"chegando",3
"cobrar",3
"coisas",3
"comeu",3
"começou",3
"condenado",3
"conquistou",3
"constituição",3
"credenciais",3
"desta",3
"destruição",3
